candidate_id	reference_id	similarity score	dist	score
5978	1	0.003364186	5.694569111	1
5979	1	0.004926774	5.313070774	2
5980	1	0.003698471	5.599835873	1
5981	1	0.002497294	5.992547512	1
5982	1	0.00386042	5.556979179	2
5983	1	0.003330245	5.70470953	1
5984	1	0.002069297	6.180546284	1
5985	1	0.002690486	5.9180336	0
5986	1	0.002633914	5.939284325	2
5987	1	0.005300283	5.239995003	3
5988	1	0.004382716	5.430086613	3
5989	1	0.003950227	5.533982277	1
5990	1	0.003630786	5.61830616	3
5991	1	0.003901955	5.546277523	2
5992	1	0.004449828	5.414889812	1
5993	1	0.004037852	5.512042522	2
5994	1	0.003490785	5.657628536	2
5995	1	0.005381289	5.22482729	2
5996	1	0.003261714	5.725502491	1
5997	1	0.004515043	5.400340557	2
5998	1	0.003934078	5.538078785	2
5999	1	0.001709465	6.371574879	1
6000	1	0.005406376	5.22017622	2
6001	1	0.003379304	5.690085411	1
6002	1	0.003853215	5.558847427	2
6003	1	0.009212339	4.687211514	3
6004	1	0.002510175	5.987402916	1
6005	1	0.00633409	5.061809063	3
6006	1	0.004579392	5.386188984	2
6007	1	0.004440093	5.417079926	3
6008	1	0.004781797	5.3429389	1
6010	1	0.005332466	5.233941555	1
6011	1	0.00106294	6.846716404	1
6012	1	0.002300934	6.074440002	0
6013	1	0.003126466	5.76785183	1
6014	1	0.004807627	5.337551594	3
6015	1	0.003674962	5.606212616	2
6016	1	0.005077208	5.282993793	3
6017	1	0.004593671	5.383075714	1
6018	1	0.002872347	5.852625847	2
6019	1	0.00368196	5.604310036	1
6020	1	0.004400463	5.426045418	2
6021	1	0.006053728	5.107080936	2
6022	1	0.004926222	5.313182831	2
6023	1	0.005214934	5.256228924	2
6024	1	0.00380171	5.572304249	1
6025	1	0.003616707	5.622191429	1
6026	1	0.006613679	5.018615246	3
6027	1	0.004955503	5.307256699	3
6028	1	0.003824657	5.566286564	2
6029	1	0.005083761	5.281703949	1
6030	1	0.005598653	5.185229301	3
6031	1	0.005586223	5.187451839	3
6032	1	0.005055613	5.287256241	2
6033	1	0.005658258	5.174639225	3
6034	1	0.003980721	5.526292324	2
6035	1	0.002681011	5.921561241	1
6036	1	0.006086311	5.101713181	2
6037	1	0.003582406	5.631720543	2
6038	1	0.002730488	5.903275013	2
6039	1	0.003166275	5.755199432	1
6040	1	0.00403635	5.512414455	1
6041	1	0.002373547	6.04336977	2
6042	1	0.005595207	5.185844898	2
6043	1	0.003853959	5.558654308	1
6044	1	0.001480165	6.515601635	2
6045	1	0.005557476	5.192611217	2
6046	1	0.004186325	5.475932121	1
6047	1	0.002705707	5.912392139	1
6048	1	0.004579628	5.386137486	1
6049	1	0.002752731	5.895161629	1
6050	1	0.006828977	4.986580372	3
6051	1	0.004908512	5.316784382	1
6052	1	0.003898896	5.54706192	2
6053	1	0.004139234	5.487244606	1
6054	1	0.002864373	5.855405807	1
6055	1	0.004599552	5.38179636	2
6056	1	0.003266269	5.724106789	1
6057	1	0.004759762	5.347557545	3
6058	1	0.003580287	5.632312298	2
6059	1	0.00313057	5.766540051	1
6060	1	0.002432102	6.018999577	1
6061	1	0.007122339	4.944519043	3
6062	1	0.002832837	5.866476536	1
6063	1	0.004592414	5.383349419	2
6064	1	0.003974896	5.527756691	2
6065	1	0.003249461	5.729266167	2
6066	1	0.003046931	5.793620586	1
6067	1	0.004075162	5.50284481	1
6068	1	0.005151613	5.268445492	2
6069	1	0.004315991	5.445428371	2
6070	1	0.004148556	5.484994888	2
6071	1	0.003422592	5.677357197	2
6072	1	0.003908104	5.544703007	2
6073	1	0.003989997	5.523964882	2
6074	1	0.002863661	5.85565424	2
6075	1	0.006888536	4.97789669	3
6076	1	0.006160577	5.089584827	2
6077	1	0.003650705	5.61283493	1
6078	1	0.003217468	5.739160538	2
6079	1	0.006243375	5.076234341	3
6080	1	0.004158524	5.482594967	2
6081	1	0.002784257	5.883774281	2
6082	1	0.003261633	5.725527287	1
6083	1	0.003127516	5.767516136	1
6084	1	0.003025221	5.800771236	3
6085	1	0.005710397	5.165466785	3
6086	1	0.004363765	5.434420109	1
6087	1	0.005669666	5.172625065	2
6088	1	0.004375425	5.431751728	2
6089	1	0.00261251	5.947443962	3
6090	1	0.005129745	5.272699356	1
6091	1	0.004753706	5.3488307	3
6092	1	0.003312464	5.710062981	1
6093	1	0.00296297	5.821563244	1
6094	1	0.005426131	5.216528893	1
6095	1	0.008720645	4.742062092	3
6096	1	0.005357277	5.229299545	2
6097	1	0.002877731	5.850753307	1
6098	1	0.003082103	5.782143116	3
6099	1	0.001799275	6.320371628	1
6100	1	0.005532413	5.197131157	2
6101	1	0.00293236	5.831947803	2
6102	1	0.003765939	5.581758022	2
6103	1	0.004287483	5.452055454	2
6104	1	0.002545092	5.973588467	1
6105	1	0.00607059	5.104299545	3
6106	1	0.001799455	6.320271492	1
6107	1	0.00411895	5.492156982	2
6108	1	0.003139353	5.763738632	1
6109	1	0.003564646	5.636690617	2
6110	1	0.004050091	5.509016037	2
6111	1	0.003415666	5.679382801	2
6112	1	0.003265243	5.724421024	1
6113	1	0.004411369	5.423570156	3
6114	1	0.001579657	6.450547695	1
6115	1	0.003467315	5.664374828	2
6116	1	0.006168493	5.088300705	2
6117	1	0.003947621	5.53464222	1
6118	1	0.005117451	5.275098801	3
6119	1	0.004300694	5.448978901	1
6120	1	0.003524261	5.648084641	2
6121	1	0.007151085	4.940491199	3
6122	1	0.004269149	5.45634079	2
6123	1	0.004839308	5.330983639	3
6124	1	0.004434173	5.418414116	3
6125	1	0.003123948	5.768657684	2
6126	1	0.002710823	5.910502911	1
6127	1	0.006452647	5.043264866	3
6128	1	0.005209563	5.257259369	3
6129	1	0.003678973	5.605121613	2
6130	1	0.003748414	5.586422443	1
6131	1	0.002294213	6.077365398	1
6132	1	0.003963754	5.530563831	3
6133	1	0.002853594	5.859176159	1
6134	1	0.004769343	5.345546722	2
6135	1	0.004045487	5.510153294	2
6136	1	0.00249722	5.992577076	1
6137	1	0.003943818	5.535605907	2
6138	1	0.003837774	5.562862873	2
6139	1	0.003110946	5.772828579	2
6140	1	0.003181866	5.750287533	1
6141	1	0.004663851	5.367913723	2
6142	1	0.004167374	5.480469227	2
6143	1	0.003792234	5.574800014	3
6144	1	0.004623518	5.376599312	3
6145	1	0.006568816	5.025421619	3
6146	1	0.00472528	5.354828358	2
6147	1	0.003563482	5.63701725	2
6148	1	0.002636845	5.93817234	2
6149	1	0.002726026	5.904910564	2
6150	1	0.003667656	5.608202457	2
6151	1	0.004279848	5.453837872	2
6152	1	0.003945639	5.535144329	2
6153	1	0.002366525	6.046332836	2
6154	1	0.001765899	6.339095116	1
6155	1	0.004848308	5.329125404	1
6156	1	0.003912788	5.543505192	2
6157	1	0.007335893	4.91497612	3
6158	1	0.005346362	5.231338978	3
6159	1	0.003524202	5.64810133	2
6160	1	0.004283514	5.452981472	2
6161	1	0.00516636	5.265586853	2
6162	1	0.005797538	5.15032196	2
6163	1	0.00260225	5.951378822	1
6164	1	0.003176012	5.752129078	2
6165	1	0.003810685	5.569946289	3
6166	1	0.003231062	5.734944344	1
6167	1	0.002176791	6.129903316	3
6168	1	0.004337836	5.44037962	2
6169	1	0.004868665	5.324935436	2
6170	1	0.004494398	5.404923439	1
6171	1	0.005514848	5.200311184	3
6172	1	0.006443696	5.044652939	2
6173	1	0.002167221	6.134309769	1
6174	1	0.004764842	5.34649086	2
6175	1	0.002671063	5.925278664	1
6176	1	0.003439945	5.672299862	1
6177	1	0.006367423	5.056560516	2
6178	1	0.003842947	5.561515808	3
6179	1	0.002409949	6.028149605	2
6180	1	0.004216471	5.468756676	3
6181	1	0.004494186	5.404970646	3
6182	1	0.004734471	5.352885246	3
6183	1	0.004942276	5.309929371	3
6184	1	0.002691827	5.917535305	1
6185	1	0.004933691	5.311667919	2
6186	1	0.004046967	5.50978756	2
6187	1	0.003027574	5.799993515	1
6188	1	0.002053509	6.188205242	0
6189	1	0.003698323	5.599875927	1
6190	1	0.008511968	4.766282082	2
6191	1	0.005129177	5.272809982	2
6192	1	0.004866778	5.325323105	3
6193	1	0.004930389	5.312337399	1
6194	1	0.005084871	5.281485558	3
6195	1	0.003919267	5.541850567	3
6196	1	0.002541903	5.974842072	1
6197	1	0.006131546	5.094308376	2
6198	1	0.003881035	5.551653385	3
6199	1	0.004459727	5.412667751	2
6200	1	0.005377952	5.225447655	0
6201	1	0.002955242	5.824174881	2
6202	1	0.003644407	5.614561558	1
6203	1	0.005133768	5.271915436	3
6204	1	0.008328161	4.78811264	1
6205	1	0.002644085	5.93543005	2
6206	1	0.002759751	5.892614841	0
6207	1	0.00346144	5.666070461	0
6208	1	0.005253743	5.248814583	3
6209	1	0.003672663	5.606838226	2
6210	1	0.005747519	5.158987045	2
6211	1	0.003537308	5.644389153	1
6212	1	0.003672759	5.606812	2
6213	1	0.003183004	5.749929905	1
6214	1	0.004374886	5.431874752	1
6215	1	0.003040804	5.795633316	1
6216	1	0.004300807	5.448952675	2
6217	1	0.002880046	5.849948883	1
6218	1	0.004042057	5.511001587	2
6219	1	0.003258704	5.726425648	2
6220	1	0.006595715	5.021335125	2
6221	1	0.004260612	5.458342552	2
6222	1	0.003237643	5.732909679	2
6223	1	0.005280664	5.243703365	3
6224	1	0.003816422	5.568441868	2
6225	1	0.005735864	5.161016941	3
6226	1	0.005232384	5.252888203	3
6227	1	0.002208788	6.115311146	1
6228	1	0.007256888	4.925804138	3
6229	1	0.002347605	6.054359436	1
6230	1	0.002289378	6.079474926	1
6231	1	0.004237431	5.463798046	2
6232	1	0.003381983	5.689292908	1
6233	1	0.001567158	6.458491325	2
6234	1	0.003264809	5.724554062	1
6235	1	0.001387653	6.580141544	1
6236	1	0.006892285	4.977352619	2
6237	1	0.004551915	5.392207146	2
6238	1	0.002689622	5.918354511	0
6239	1	0.004618219	5.377746105	2
6240	1	0.003532294	5.645807743	3
6241	1	0.00309401	5.778287411	1
6242	1	0.001958682	6.235483646	1
6243	1	0.005026659	5.292999744	2
6244	1	0.003719091	5.594275951	1
6245	1	0.003483371	5.659754753	3
6246	1	0.004350792	5.43739748	1
6247	1	0.004140985	5.486821651	3
6248	1	0.003969734	5.529056072	1
6249	1	0.005801299	5.149673462	3
6250	1	0.004647942	5.371330738	3
6251	1	0.003872255	5.553918362	1
6252	1	0.00322426	5.737051964	1
6253	1	0.006403235	5.050951958	3
6254	1	0.006157138	5.090143204	3
6255	1	0.00444419	5.416157722	1
6256	1	0.002735063	5.901600838	1
6257	1	0.003118047	5.770548344	1
6258	1	0.002313227	6.069111824	1
6259	1	0.00385542	5.558275223	3
6260	1	0.003718033	5.594560623	2
6261	1	0.00274206	5.899045944	1
6262	1	0.005453393	5.211517334	3
6263	1	0.006918601	4.973541737	3
6264	1	0.003606948	5.624893188	3
6265	1	0.005125146	5.273596287	2
6266	1	0.003265905	5.724218369	1
6267	1	0.005669482	5.17265749	3
6268	1	0.006194053	5.084165573	3
6269	1	0.002422309	6.023034096	1
6270	1	0.006174387	5.0873456	3
6271	1	0.002466561	6.004930496	2
6272	1	0.005860213	5.139569283	2
6273	1	0.00415719	5.482915878	1
6274	1	0.004796908	5.339783669	1
6275	1	0.002379386	6.040912628	1
6276	1	0.004264756	5.457370281	3
6277	1	0.002411662	6.027439117	1
6278	1	0.003210141	5.741440296	1
6279	1	0.003856781	5.557922363	2
6280	1	0.003486013	5.658996582	3
6281	1	0.007051711	4.95448494	1
6282	1	0.004777173	5.343906403	3
6283	1	0.003537071	5.644456387	1
6284	1	0.004014671	5.517799854	3
6285	1	0.00380649	5.571047783	2
6286	1	0.006082548	5.102331638	3
6287	1	0.004484577	5.407111168	3
6288	1	0.0038724	5.553880692	2
6289	1	0.003370185	5.692787647	2
6290	1	0.004391938	5.427984715	1
6291	1	0.004889306	5.320704937	2
6292	1	0.003522984	5.648447037	3
6293	1	0.004911078	5.316261768	2
6294	1	0.004877219	5.323180199	1
6295	1	0.003111337	5.772702694	2
6296	1	0.004753944	5.348780632	0
6297	1	0.004702553	5.359649658	1
6298	1	0.002445965	6.013315678	1
6299	1	0.003417144	5.67895031	2
6300	1	0.006558225	5.027035236	3
6301	1	0.007811498	4.852158546	3
6302	1	0.003670429	5.607446671	2
