cand id	BERTScore_F1	BERTScore_P	BERTScore_R	bert_s+wms	bert_sms	bert_wms	BLEU	elmo_s+wms	elmo_sms	elmo_wms	glove_s+wms	glove_sms	glove_wms	ROUGE-1	ROUGE-2	ROUGE-L	score
5978	0.8332316999999999	0.8578831	0.8099575	1.1368962224177874e-05	0.00020924676527563118	6.170939989174452e-07	0.013423096	2.74e-06	0.000198186	3.7999999999999996e-08	0.01566341	0.072689441	0.003365448	0.211320752	0.022813685	0.15300546199999998	1
5979	0.82517666	0.8179324	0.8325504000000001	1.245823176888386e-05	0.00017393334322605858	8.867943478697449e-07	0.15422082	3.91e-06	0.00019350000000000001	7.89e-08	0.020063146	0.080167751	0.00496904	0.26086956	0.056555265	0.18939393399999999	2
5980	0.80932343	0.81391674	0.8047818	5.574913411669379e-06	9.639529675733584e-05	3.1983928651255736e-07	0.04697066	1.97e-06	0.000121519	3.15e-08	0.015182135	0.061616804000000004	0.003699838	0.201298697	0.013071891	0.17117116699999999	1
5981	0.80294997	0.8007915	0.80512017	6.100672485251994e-06	9.885371086491272e-05	3.76060724456138e-07	0.053226102000000004	5.27e-06	0.00040688599999999997	6.81e-08	0.014808641	0.087661307	0.002498017	0.25913620800000003	0.026755848999999998	0.178403752	1
5982	0.8149310000000001	0.8127353	0.81713855	1.6573418241086413e-05	0.0002716941563480622	1.0109859621118448e-06	0.11717325699999999	8.4e-06	0.0006663839999999999	1.06e-07	0.021487987000000004	0.119555559	0.003861877	0.288184433	0.034782604	0.189655168	2
5983	0.8245628	0.8332639999999999	0.8160415	8.410774383894476e-06	0.0001345388990571307	5.21774113997933e-07	0.030186703999999998	5.29e-06	0.00040523	6.89e-08	0.017638007	0.09283733599999999	0.003331593	0.18947368	0.02120141	0.128078814	1
5984	0.8313141	0.85668737	0.80740047	4.9315735244916565e-06	7.269626276136934e-05	3.299206450231126e-07	0.005851047	1.33e-06	7.31e-05	2.41e-08	0.009228765	0.041134545	0.002069838	0.179687497	0.015748029	0.17297297	1
5985	0.7992825	0.7982646	0.8003029	3.623771913434913e-06	4.805603217284143e-05	2.69461939185751e-07	0.059395928	1.34e-06	6.929999999999999e-05	2.57e-08	0.012148105	0.054600618	0.002691012	0.185185181	0.012422356	0.148148144	0
5986	0.8323928	0.84241164	0.8226094	1.4262661430792878e-05	0.00020797232395097648	9.736558732385285e-07	0.059714162	3.5e-06	0.000260275	4.71e-08	0.01336119	0.067757676	0.0026347040000000003	0.241830061	0.026315785	0.216216212	2
5987	0.82294047	0.82064205	0.8252519	9.454296609315274e-06	0.00016897777984219525	5.269900065944064e-07	0.128421094	3.44e-06	0.000247353	4.7800000000000005e-08	0.021772415	0.089190096	0.005302088000000001	0.236263731	0.033149166	0.19841269399999997	3
5988	0.82222635	0.8155571999999999	0.8290054	1.4571956458168973e-05	0.000308275258107917	6.831461314547901e-07	0.124181393	7e-06	0.000581652	8.43e-08	0.021584956000000002	0.105043746	0.004383535	0.24427480399999998	0.010230174	0.159999995	3
