P	R	F1	H
0.5518515706062317	0.5493906736373901	0.5509940385818481	0.006999999999999999
0.6339606642723083	0.6315869092941284	0.6330767273902893	0.23800000000000002
0.5406935811042786	0.5449190735816956	0.5431730151176453	0.063
0.6073664426803589	0.6086488962173462	0.6083164811134338	0.171
0.32450756430625916	0.42767834663391113	0.3755829632282257	-0.341
0.6159209609031677	0.627756655216217	0.6221587657928467	0.215
0.5679121017456055	0.5578566789627075	0.5632187128067017	0.106
0.6174912452697754	0.6125998497009277	0.6153416037559509	0.18600000000000003
0.59222012758255	0.5835645794868469	0.5882939696311951	0.11699999999999999
0.4988076686859131	0.48840633034706116	0.49395471811294556	-0.11699999999999999
0.5957836508750916	0.60422682762146	0.6003187298774719	0.187
-0.021554091945290565	-0.009059778414666653	-0.014322761446237564	-0.95
0.5871664881706238	0.5766240954399109	0.582172691822052	0.106
0.6559982299804688	0.6596158742904663	0.6580886840820312	0.326
