candidate_id	similarity	score
19955	0.722292363056809	1
19956	0.77816393955214	0
19957	0.9128897506741925	1
19959	0.75238756475287	0
19961	0.600478428374815	1
19962	0.8252789370812041	0
19968	0.7988377817804099	0
19969	0.8394742954767003	0
19970	0.8645217084029674	1
19972	0.6768257760363102	0
19974	0.7177939356791833	1
19975	0.9354083484931311	0
19976	0.6664731300250526	0
19979	0.7407012340922399	1
19980	0.6788709223411494	0
19981	0.8468898184899326	1
19982	0.8767539883893658	1
19983	0.8406466714345656	0
19985	0.39584981952385007	0
19986	0.05478430558282903	0
19987	0.6687104298259096	0
19989	0.7402605978232278	0
19990	0.7365873111686486	0
19993	0.8180255523907191	0
19996	0.5663157160938669	0
19997	0.7851804070640365	0
20001	0.8677992537997954	1
20003	0.7615364947513523	0
20004	0.7425443229440557	0
20006	0.7307016239301549	0
20007	0.840586011839869	1
20013	0.8388580110078118	0
20014	0.8193971473157118	1
20017	0.04312597901378263	0
20018	0.24954108466128505	0
20020	0.7659484630151112	1
20022	0.8452975005198413	0
20023	0.7900847792592574	1
20027	0.8022064315017674	1
20028	0.8890314805228003	1
20031	0.8865667390162691	1
20033	0.8348584300121068	1
20034	0.73210027156039	0
20035	0.7499460417787305	1
20037	0.7514155903476142	1
20041	0.9810317250016907	0
20042	0.6834761588639493	1
20046	0.4801605341439774	0
20047	0.8670076159386894	1
20049	0.8324618628889257	1
20050	0.9666649111125812	0
20052	0.7833695338536504	1
20053	0.90642733429481	1
20055	0.7968819013862024	1
20056	0.1016237981746467	0
20057	0.8902774420938773	0
20058	0.7826042122757069	0
20059	0.8256603018476476	1
20061	0.7412335289325486	0
20062	0.8449916572672058	1
20064	0.8148887334605613	0
20065	0.8809605186023666	0
20066	0.6777260588067425	1
20068	0.6267787779218397	0
20069	0.9318159416347608	0
20070	0.8558480408364265	0
20074	0.7124492566832398	0
20077	0.3651654084211485	1
20079	0.6723001058934845	0
20081	0.78852968230206	1
20083	0.6963996646446181	1
20084	0.8453813551802156	0
20085	0.911983611283112	1
20087	0.6539975748178158	0
20090	0.8712263777417097	0
20091	0.8166556620705385	1
20092	0.7485464461168787	1
20096	0.8279638956903415	0
20097	0.7823402894431827	1
20099	0.6667038327527576	1
