P	R	F1	H
0.6014416217803955	0.5845581293106079	0.5931898355484009	0.10800000000000001
0.5626204609870911	0.5442129373550415	0.5530681014060974	-0.005
0.5980870127677917	0.5815000534057617	0.5900212526321411	0.094
0.3377460837364197	0.37166276574134827	0.35528409481048584	-0.377
0.5952821373939514	0.5826997756958008	0.5892286896705627	0.109
0.5921289324760437	0.5547707676887512	0.5735462307929993	0.08900000000000001
0.5792842507362366	0.5269899368286133	0.5531208515167236	-0.017
0.5344197154045105	0.5135314464569092	0.5242723226547241	-0.061
0.6048141121864319	0.5790064334869385	0.5920969843864441	0.091
0.6032788753509521	0.5888283848762512	0.5963040590286255	0.111
0.3800755739212036	0.39915478229522705	0.3900229334831238	-0.327
0.5705527663230896	0.5461646318435669	0.5579577684402466	0.078
0.6028332710266113	0.5874938368797302	0.5953569412231445	0.099
0.6046638488769531	0.5812522172927856	0.5931245684623718	0.14
