P	R	F1	H
0.7744606137275696	0.7573660612106323	0.7660499811172485	0.413
0.7163190245628357	0.7033137679100037	0.7100160717964172	0.268
0.7402157783508301	0.7283317446708679	0.7344731092453003	0.317
0.7023085355758667	0.6842625141143799	0.6934942603111267	0.162
0.7579421997070312	0.7450417876243591	0.7516672015190125	0.359
0.741671621799469	0.7188058495521545	0.7304179072380066	0.315
0.7295615077018738	0.7155308723449707	0.7227667570114136	0.261
0.7547581195831299	0.7329521775245667	0.7440390586853027	0.34600000000000003
0.31996047496795654	0.411506712436676	0.3652245104312897	-0.752
0.6178490519523621	0.6128543019294739	0.6157134771347046	-0.07400000000000001
0.5094202756881714	0.5467182993888855	0.5284812450408936	-0.29600000000000004
0.6873040795326233	0.6715872287750244	0.6796199679374695	0.149
0.3252980709075928	0.3499850034713745	0.3381604552268982	-0.835
0.721217155456543	0.7147877216339111	0.7181843519210815	0.31
0.7666302919387817	0.7535508871078491	0.7602566480636597	0.395
0.7377366423606873	0.7287344932556152	0.7334400415420532	0.321
